city,country,lat,lng,temp,humidity,cloudiness,windspeed,cityname,dt
Sinjār,IQ,36.32,41.88,63.54,47,85,8.7,Sinjār,1590364219
Vitim,RU,59.45,112.56,60.78,49,95,4.43,Vitim,1590364219
Riyadh,SA,24.69,46.72,84.2,20,0,3.36,Riyadh,1590364060
San Cristobal,VE,7.77,-72.22,71.17,78,72,3.94,San Cristobal,1590364153
Dronninglund,DK,57.16,10.29,51.01,87,41,3.0,Dronninglund,1590364220
Comodoro Rivadavia,AR,-45.87,-67.5,59.0,41,56,18.34,Comodoro Rivadavia,1590364220
San Quintín,MX,30.48,-115.95,67.32,65,0,14.94,San Quintín,1590364220
Marsabit,KE,2.33,37.99,64.18,99,5,18.84,Marsabit,1590364220
Coffs Harbour,AU,-30.3,153.13,66.2,52,0,11.41,Coffs Harbour,1590364220
Norman Wells,CA,65.28,-126.83,64.4,36,20,14.99,Norman Wells,1590364220
Acapulco de Juárez,MX,16.86,-99.89,84.2,70,20,13.87,Acapulco de Juárez,1590364220
Grootfontein,NA,-19.57,18.12,51.31,50,0,4.07,Grootfontein,1590364220
Kedrovyy,RU,56.17,91.82,59.0,72,81,6.71,Kedrovyy,1590364220
Te Anau,NZ,-45.42,167.72,52.39,76,75,4.32,Te Anau,1590364220
Arman',RU,59.7,150.17,41.4,83,100,3.31,Arman',1590364221
Fergus Falls,US,46.28,-96.08,71.01,77,75,3.36,Fergus Falls,1590364221
Vangaindrano,MG,-23.35,47.6,68.02,88,29,4.92,Vangaindrano,1590364221
Manokwari,ID,-0.87,134.08,84.18,67,85,2.62,Manokwari,1590364221
Gōtsuchō,JP,35.0,132.22,69.8,77,75,5.82,Gōtsuchō,1590364221
Zhigansk,RU,66.77,123.37,65.16,44,32,8.95,Zhigansk,1590364221
Mnogovershinnyy,RU,53.94,139.92,47.19,62,22,1.9,Mnogovershinnyy,1590364221
Vestmannaeyjar,IS,63.44,-20.27,45.68,77,70,13.27,Vestmannaeyjar,1590364221
Aklavik,CA,68.22,-135.01,55.4,70,20,17.22,Aklavik,1590364165
Qaanaaq,GL,77.48,-69.36,29.48,91,0,2.95,Qaanaaq,1590364222
Durban,ZA,-29.86,31.03,64.99,82,0,3.36,Durban,1590364105
Lavrentiya,RU,65.58,-171.0,34.68,94,61,6.29,Lavrentiya,1590364222
Sibolga,ID,1.74,98.78,76.55,83,100,3.76,Sibolga,1590364222
Hornepayne,CA,49.21,-84.77,71.44,57,15,6.85,Hornepayne,1590364222
Saint-Philippe,RE,-21.36,55.77,68.0,77,75,4.7,Saint-Philippe,1590364223
Tiksi,RU,71.69,128.87,39.33,94,100,3.65,Tiksi,1590364223
Tasiilaq,GL,65.61,-37.64,39.2,60,100,31.09,Tasiilaq,1590364223
Palmer,US,42.16,-72.33,69.8,26,1,9.17,Palmer,1590364223
Homer,US,59.64,-151.55,48.99,66,90,10.29,Homer,1590364120
Yenotayevka,RU,47.25,47.03,59.18,52,100,6.15,Yenotayevka,1590364223
Kloulklubed,PW,7.04,134.26,84.2,79,75,8.05,Kloulklubed,1590364223
Torrington,US,41.8,-73.12,66.99,67,87,1.01,Torrington,1590364023
Leningradskiy,RU,69.38,178.42,30.99,96,99,11.95,Leningradskiy,1590364223
Severo-Kuril'sk,RU,50.68,156.12,39.78,91,100,6.35,Severo-Kuril'sk,1590364224
South Venice,US,27.05,-82.42,77.0,94,40,12.75,South Venice,1590364224
Yellowknife,CA,62.46,-114.35,48.2,39,20,9.17,Yellowknife,1590364224
Rendsburg,DE,54.3,9.67,52.0,76,75,16.11,Rendsburg,1590364224
Katsuura,JP,35.13,140.3,73.99,69,75,11.41,Katsuura,1590364224
Breves,BR,-1.68,-50.48,76.28,94,44,1.41,Breves,1590364224
Zyryanka,RU,65.75,150.85,48.83,50,74,3.09,Zyryanka,1590364224
Sisimiut,GL,66.94,-53.67,31.86,95,86,15.61,Sisimiut,1590364224
Atuona,PF,-9.8,-139.03,81.23,77,22,12.33,Atuona,1590364225
Highland,US,34.13,-117.21,89.6,22,5,9.17,Highland,1590363940
Sychëvka,RU,55.83,34.27,40.51,93,39,4.79,Sychëvka,1590364225
Tabuk,PH,17.42,121.44,83.25,69,100,1.74,Tabuk,1590364225
Kieta,PG,-6.22,155.63,86.49,63,59,2.98,Kieta,1590364225
Khipro,PK,25.83,69.38,86.13,42,13,13.87,Khipro,1590364225
Diffa,NE,13.32,12.61,89.37,22,46,1.57,Diffa,1590364225
Xingyi,CN,24.19,102.82,66.07,80,32,3.94,Xingyi,1590364226
Mount Gambier,AU,-37.83,140.77,44.6,100,1,1.12,Mount Gambier,1590364226
Husavik,IS,66.04,-17.34,46.4,70,40,29.97,Husavik,1590364226
Ust'-Kan,RU,50.93,84.76,55.65,63,89,0.67,Ust'-Kan,1590364226
Bengkulu,ID,-3.8,102.27,77.88,78,72,4.23,Bengkulu,1590364226
Campo Maior,BR,-4.83,-42.17,75.61,91,77,2.33,Campo Maior,1590364226
Mossamedes,AO,-15.2,12.15,73.45,62,0,5.39,Mossamedes,1590364226
Noril'sk,RU,69.35,88.2,32.0,85,90,17.9,Noril'sk,1590364226
Nelson Bay,AU,-32.72,152.15,59.0,67,90,13.87,Nelson Bay,1590364227
Dalipey,PH,16.8,120.72,73.87,71,99,2.77,Dalipey,1590364227
Seymchan,RU,62.88,152.43,45.84,54,100,5.66,Seymchan,1590364227
Matara,LK,5.95,80.54,81.16,85,98,12.28,Matara,1590364227
Laguna,US,38.42,-121.42,93.2,13,1,8.05,Laguna,1590364227
Rawson,AR,-43.3,-65.1,57.7,58,71,25.7,Rawson,1590364227
Ayagoz,KZ,47.97,80.44,60.89,75,38,8.55,Ayagoz,1590364227
Havelock,US,34.88,-76.9,73.99,78,40,9.17,Havelock,1590364042
Umluj,SA,25.02,37.27,77.13,54,0,10.51,Umluj,1590364227
Guozhen,CN,34.37,107.36,69.35,39,98,2.84,Guozhen,1590364228
Abhā,SA,18.22,42.51,68.0,52,54,5.82,Abhā,1590364228
Portland,US,45.52,-122.68,73.99,35,40,4.7,Portland,1590363445
Ballina,AU,-28.87,153.57,64.4,55,40,10.29,Ballina,1590364228
Paamiut,GL,61.99,-49.67,36.09,88,48,23.31,Paamiut,1590364228
Saskylakh,RU,71.92,114.08,47.93,85,94,9.22,Saskylakh,1590364228
Pacific Grove,US,36.62,-121.92,75.0,56,1,6.93,Pacific Grove,1590364228
Okha,RU,53.57,142.95,39.97,79,59,6.08,Okha,1590364228
Ila,NO,63.43,10.37,50.0,76,72,9.17,Ila,1590364228
Huarmey,PE,-10.07,-78.15,66.15,81,29,5.01,Huarmey,1590364229
East London,ZA,-33.02,27.91,72.41,33,0,12.77,East London,1590364229
Talnakh,RU,69.49,88.4,32.0,86,90,17.9,Talnakh,1590364229
Port Keats,AU,-14.25,129.55,69.62,39,39,11.81,Port Keats,1590364229
Ilulissat,GL,69.22,-51.1,35.6,93,99,4.7,Ilulissat,1590364229
Hirara,JP,24.8,125.28,78.8,88,75,8.05,Hirara,1590364229
São João da Barra,BR,-21.64,-41.05,68.77,95,100,13.71,São João da Barra,1590364229
Chicamán,GT,15.4,-90.77,69.46,89,27,1.23,Chicamán,1590364229
Turan,VN,16.07,108.22,80.6,94,20,2.24,Turan,1590364037
Kirakira,SB,-10.45,161.92,84.69,74,75,9.22,Kirakira,1590364230
Mīnāb,IR,27.15,57.08,82.4,65,40,4.7,Mīnāb,1590364230
Hambantota,LK,6.12,81.12,81.81,82,95,17.69,Hambantota,1590364230
Cuenca,EC,-2.88,-78.98,62.6,67,75,9.17,Cuenca,1590363940
Saint Paul Harbor,US,57.79,-152.41,55.4,47,40,14.99,Saint Paul Harbor,1590364230
Kerema,PG,-7.96,145.78,79.43,86,100,2.53,Kerema,1590364230
Kota Kinabalu,MY,5.97,116.07,77.0,88,20,6.93,Kota Kinabalu,1590364230
São Félix do Xingu,BR,-6.64,-51.99,75.38,87,38,1.48,São Félix do Xingu,1590364230
Collie,AU,-33.37,116.15,59.0,44,91,19.28,Collie,1590364230
Santa Cruz de la Sierra,BO,-17.8,-63.17,59.0,58,0,3.36,Santa Cruz de la Sierra,1590364230
Monrovia,LR,6.3,-10.8,78.8,94,40,4.7,Monrovia,1590364230
